test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
somap,11,1,1.97125e-06,0,0,0,3.3095e-05,20,2000,3.0317e-05,20,2000,2.9083e-05,20,2000,0,0
somap,11,2,1.6225e-07,0,0,0,9.1932e-05,36,7200,9.25647e-05,36,7200,9.80665e-05,36,7200,0,0
somap,11,3,7.4625e-07,0,0,0,0.00018501,52,15600,0.000188505,52,15600,0.000188545,52,15600,0,0
somap,11,4,7.58e-07,0,0,0,0.000326091,72,28800,0.000337876,72,28800,0.000334087,72,28800,0,0
somap,11,5,4.51e-07,0,0,0,0.000490094,88,44000,0.000512382,88,44000,0.000504902,88,44000,0,0
somap,11,6,1.24825e-06,0,0,0,0.00066472,104,62400,0.000710815,104,62400,0.000703729,104,62400,0,0
somap,11,7,1.21175e-06,0,0,0,0.0009285,124,86800,0.0009722,124,86800,0.000973811,124,86800,0,0
somap,11,8,9.705e-07,0,0,0,0.00116929,140,112000,0.00123162,140,112000,0.00124272,140,112000,0,0
somap,11,9,1.13025e-06,0,0,0,0.00143109,156,140400,0.00150199,156,140400,0.00151595,156,140400,0,0
somap,11,10,1.78575e-06,0,0,0,0.001777,176,176000,0.00183879,176,176000,0.00188482,176,176000,0,0
somap,11,11,1.54175e-06,0,0,0,0.00208988,192,211200,0.00214246,192,211200,0.00215333,192,211200,0,0
somap,11,12,3.31075e-06,0,0,0,0.00248501,208,249600,0.00257943,208,249600,0.00258367,208,249600,0,0
somap,11,13,2.93325e-06,0,0,0,0.00297132,228,296400,0.00300576,228,296400,0.00300204,228,296400,0,0
somap,11,14,2.58225e-06,0,0,0,0.00332706,244,341600,0.00339061,244,341600,0.00345006,244,341600,0,0
somap,11,15,3.48325e-06,0,0,0,0.00398724,260,390000,0.00399897,260,390000,0.00395486,260,390000,0,0
somap,11,16,2.601e-06,0,0,0,0.00445182,280,448000,0.0045309,280,448000,0.00454455,280,448000,0,0
somap,11,17,4.428e-06,0,0,0,0.00531643,296,503200,0.00530172,296,503200,0.00532394,296,503200,0,0
somap,11,18,7.9865e-06,0,0,0,0.00635628,312,561600,0.00626029,312,561600,0.00611792,312,561600,0,0
somap,11,19,6.259e-06,0,0,0,0.00714789,332,630800,0.00696085,332,630800,0.00691511,332,630800,0,0
somap,11,20,5.35625e-06,0,0,0,0.00785219,348,696000,0.0077715,348,696000,0.00776321,348,696000,0,0
somap,131,1,4.1375e-07,0,0,0,3.5315e-05,20,6800,3.46475e-05,20,6800,3.35585e-05,20,6800,0,0
somap,131,2,3.7525e-07,0,0,0,0.000110532,36,24480,0.000108055,36,24480,0.000106905,36,24480,0,0
somap,131,3,2.6675e-07,0,0,0,0.000220817,52,53040,0.000221874,52,53040,0.000220308,52,53040,0,0
somap,131,4,2.2975e-07,0,0,0,0.000390084,72,97920,0.000403144,72,97920,0.000398121,72,97920,0,0
