test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
sostack,32,1,2.225e-06,0,0,0,5.2165e-06,2,200,3.80525e-06,2,200,2.28025e-06,2,200,0,255
sostack,32,2,1.4275e-07,0,0,0,4.98425e-06,2,400,4.757e-06,2,400,4.382e-06,2,400,0,255
sostack,32,3,6.975e-07,0,0,0,6.05925e-06,2,600,6.155e-06,2,600,6.73675e-06,2,600,0,255
sostack,32,4,7.215e-07,0,0,0,7.615e-06,2,800,7.56425e-06,2,800,8.65125e-06,2,800,0,255
sostack,32,5,7.36e-07,0,0,0,1.06083e-05,2,1000,9.7415e-06,2,1000,1.07172e-05,2,1000,0,255
sostack,32,6,7.225e-07,0,0,0,1.07035e-05,2,1200,1.02197e-05,2,1200,1.28073e-05,2,1200,0,255
sostack,32,7,9.325e-07,0,0,0,1.26727e-05,2,1400,1.24105e-05,2,1400,1.49305e-05,2,1400,0,255
sostack,32,8,7.93e-07,0,0,0,1.36633e-05,2,1600,1.41422e-05,2,1600,1.69635e-05,2,1600,0,255
sostack,32,9,1.36825e-06,0,0,0,1.735e-05,2,1800,1.6661e-05,2,1800,1.88128e-05,2,1800,0,255
sostack,32,10,1.596e-06,0,0,0,1.9375e-05,2,2000,1.77645e-05,2,2000,2.08702e-05,2,2000,0,255
sostack,32,11,1.77375e-06,0,0,0,2.27683e-05,2,2200,2.26218e-05,2,2200,2.29272e-05,2,2200,0,255
sostack,32,12,1.369e-06,0,0,0,3.18005e-05,2,2400,2.3004e-05,2,2400,2.51593e-05,2,2400,0,255
sostack,32,13,1.409e-06,0,0,0,2.57315e-05,2,2600,2.4649e-05,2,2600,2.98095e-05,2,2600,0,255
sostack,32,14,1.52375e-06,0,0,0,3.17202e-05,2,2800,2.96007e-05,2,2800,2.92645e-05,2,2800,0,255
sostack,32,15,1.50725e-06,0,0,0,3.017e-05,2,3000,3.04563e-05,2,3000,3.15012e-05,2,3000,0,255
sostack,32,16,1.413e-06,0,0,0,3.32765e-05,2,3200,3.27235e-05,2,3200,3.34983e-05,2,3200,0,255
sostack,32,17,1.485e-06,0,0,0,3.98112e-05,2,3400,3.88372e-05,2,3400,3.54433e-05,2,3400,0,255
sostack,32,18,2.13225e-06,0,0,0,4.34775e-05,2,3600,3.87308e-05,2,3600,3.75163e-05,2,3600,0,255
sostack,32,19,2.10925e-06,0,0,0,4.47222e-05,2,3800,4.186e-05,2,3800,3.95325e-05,2,3800,0,255
sostack,32,20,2.1085e-06,0,0,0,4.70485e-05,2,4000,4.43158e-05,2,4000,4.16e-05,2,4000,0,255
sostack,152,1,2.2425e-07,0,0,0,3.6415e-06,2,680,3.49775e-06,2,680,2.66425e-06,2,680,0,255
sostack,152,2,3.685e-07,0,0,0,6.05925e-06,2,1360,5.7295e-06,2,1360,1.35547e-05,2,1360,0,255
sostack,152,3,2.3125e-07,0,0,0,7.01775e-06,2,2040,7.4705e-06,2,2040,7.629e-06,2,2040,0,255
sostack,152,4,2.365e-07,0,0,0,8.94075e-06,2,2720,9.368e-06,2,2720,1.01958e-05,2,2720,0,255
sostack,152,5,2.65e-07,0,0,0,1.08185e-05,2,3400,1.35583e-05,2,3400,1.2753e-05,2,3400,0,255
sostack,152,6,2.6975e-07,0,0,0,1.28445e-05,2,4080,1.3029e-05,2,4080,1.51985e-05,2,4080,0,255
sostack,152,7,3.035e-07,0,0,0,1.47435e-05,2,4760,1.58317e-05,2,4760,1.76505e-05,2,4760,0,255
sostack,152,8,6.205e-07,0,0,0,1.66548e-05,2,5440,1.66555e-05,2,5440,2.03523e-05,2,5440,0,255
sostack,152,9,4.9075e-07,0,0,0,1.8807e-05,2,6120,1.84647e-05,2,6120,2.26887e-05,2,6120,0,255
sostack,152,10,4.9e-07,0,0,0,2.06725e-05,2,6800,2.2441e-05,2,6800,2.5216e-05,2,6800,0,255
sostack,152,11,4.7525e-07,0,0,0,2.37292e-05,2,7480,2.3603e-05,2,7480,2.7732e-05,2,7480,0,255
sostack,152,12,7.165e-07,0,0,0,2.79078e-05,2,8160,2.83895e-05,2,8160,3.04065e-05,2,8160,0,255
sostack,152,13,5.7175e-07,0,0,0,2.99745e-05,2,8840,2.99245e-05,2,8840,3.2746e-05,2,8840,0,255
sostack,152,14,5.82e-07,0,0,0,3.39993e-05,2,9520,3.3983e-05,2,9520,3.5324e-05,2,9520,0,255
sostack,152,15,5.425e-07,0,0,0,3.5632e-05,2,10200,3.58757e-05,2,10200,3.80495e-05,2,10200,0,255
sostack,152,16,2.68725e-06,0,0,0,4.74555e-05,2,10880,4.78273e-05,2,10880,4.05715e-05,2,10880,0,255
sostack,152,17,2.027e-06,0,0,0,5.22e-05,2,11560,4.532e-05,2,11560,4.29805e-05,2,11560,0,255
sostack,152,18,1.96675e-06,0,0,0,5.26295e-05,2,12240,4.95067e-05,2,12240,4.5462e-05,2,12240,0,255
sostack,152,19,2.2715e-06,0,0,0,5.4574e-05,2,12920,5.16187e-05,2,12920,4.79297e-05,2,12920,0,255
sostack,152,20,2.1955e-06,0,0,0,5.82525e-05,2,13600,5.56105e-05,2,13600,5.02545e-05,2,13600,0,255
sostack,248,1,5.0625e-07,0,0,0,3.99575e-06,2,1064,3.85525e-06,2,1064,3.0485e-06,2,1064,0,255
sostack,248,2,2.26e-07,0,0,0,5.92175e-06,2,2128,6.16575e-06,2,2128,5.916e-06,2,2128,0,255
sostack,248,3,2.5475e-07,0,0,0,7.97825e-06,2,3192,8.4685e-06,2,3192,8.6895e-06,2,3192,0,255
sostack,248,4,2.7825e-07,0,0,0,1.02955e-05,2,4256,1.1135e-05,2,4256,1.15442e-05,2,4256,0,255
sostack,248,5,2.725e-07,0,0,0,1.2392e-05,2,5320,1.31442e-05,2,5320,1.44645e-05,2,5320,0,255
sostack,248,6,2.7275e-07,0,0,0,1.4573e-05,2,6384,1.56415e-05,2,6384,1.73118e-05,2,6384,0,255
sostack,248,7,2.69e-07,0,0,0,1.69758e-05,2,7448,1.7088e-05,2,7448,2.0167e-05,2,7448,0,255
sostack,248,8,3.0325e-07,0,0,0,1.89947e-05,2,8512,1.94448e-05,2,8512,2.30435e-05,2,8512,0,255
sostack,248,9,5.8725e-07,0,0,0,2.57475e-05,2,9576,2.31107e-05,2,9576,2.5803e-05,2,9576,0,255
sostack,248,10,5.045e-07,0,0,0,2.38127e-05,2,10640,2.77073e-05,2,10640,2.86807e-05,2,10640,0,255
sostack,248,11,5.2275e-07,0,0,0,2.7683e-05,2,11704,2.72113e-05,2,11704,3.16823e-05,2,11704,0,255
sostack,248,12,5.445e-07,0,0,0,3.01795e-05,2,12768,3.13235e-05,2,12768,3.45872e-05,2,12768,0,255
sostack,248,13,6.5e-07,0,0,0,3.353e-05,2,13832,3.41445e-05,2,13832,3.7304e-05,2,13832,0,255
sostack,248,14,6.0475e-07,0,0,0,3.77433e-05,2,14896,3.7403e-05,2,14896,4.01905e-05,2,14896,0,255
sostack,248,15,7.39e-07,0,0,0,4.10767e-05,2,15960,4.22135e-05,2,15960,4.32568e-05,2,15960,0,255
sostack,248,16,2.456e-06,0,0,0,5.52897e-05,2,17024,5.28145e-05,2,17024,4.62105e-05,2,17024,0,255
sostack,248,17,2.0595e-06,0,0,0,6.01022e-05,2,18088,5.26922e-05,2,18088,4.9194e-05,2,18088,0,255
sostack,248,18,2.3345e-06,0,0,0,5.9233e-05,2,19152,6.05257e-05,2,19152,5.19577e-05,2,19152,0,255
sostack,248,19,2.27075e-06,0,0,0,6.1482e-05,2,20216,5.89738e-05,2,20216,5.45642e-05,2,20216,0,255
sostack,248,20,2.40925e-06,0,0,0,6.5625e-05,2,21280,6.29963e-05,2,21280,5.74527e-05,2,21280,0,255
sostack,4088,1,7.6225e-07,0,0,0,1.6791e-05,2,16424,1.87962e-05,2,16424,1.785e-05,2,16424,0,255
sostack,4088,2,4.875e-07,0,0,0,3.1104e-05,2,32848,3.42768e-05,2,32848,3.56513e-05,2,32848,0,255
sostack,4088,3,7.3425e-07,0,0,0,4.61292e-05,2,49272,5.2888e-05,2,49272,5.3417e-05,2,49272,0,255
sostack,4088,4,1.192e-06,0,0,0,6.7424e-05,2,65696,6.5314e-05,2,65696,7.1368e-05,2,65696,0,255
sostack,4088,5,1.17675e-06,0,0,0,7.67182e-05,2,82120,7.9976e-05,2,82120,8.91927e-05,2,82120,0,255
sostack,4088,6,1.61075e-06,0,0,0,9.3611e-05,2,98544,9.64778e-05,2,98544,0.000107341,2,98544,0,255
sostack,4088,7,2.09025e-06,0,0,0,0.000109571,2,114968,0.00012467,2,114968,0.000125637,2,114968,0,255
sostack,4088,8,2.761e-06,0,0,0,0.000130084,2,131392,0.000141212,2,131392,0.000143091,2,131392,0,255
sostack,4088,9,3.07925e-06,0,0,0,0.000149897,2,147816,0.000155148,2,147816,0.000160682,2,147816,0,255
sostack,4088,10,3.35025e-06,0,0,0,0.00017072,2,164240,0.000187868,2,164240,0.000178737,2,164240,0,255
sostack,4088,11,3.81775e-06,0,0,0,0.000193052,2,180664,0.000198001,2,180664,0.000196462,2,180664,0,255
sostack,4088,12,3.2495e-06,0,0,0,0.000243972,2,197088,0.000236426,2,197088,0.000214243,2,197088,0,255
sostack,4088,13,2.072e-06,0,0,0,0.000257691,2,213512,0.000251058,2,213512,0.000232805,2,213512,0,255
sostack,4088,14,2.26825e-06,0,0,0,0.000278062,2,229936,0.000275169,2,229936,0.000250386,2,229936,0,255
sostack,4088,15,2.251e-06,0,0,0,0.000295711,2,246360,0.000290225,2,246360,0.000271416,2,246360,0,255
sostack,4088,16,2.38575e-06,0,0,0,0.000316554,2,262784,0.00031322,2,262784,0.000285893,2,262784,0,255
sostack,4088,17,2.546e-06,0,0,0,0.000337981,2,279208,0.000334425,2,279208,0.000304022,2,279208,0,255
sostack,4088,18,2.5655e-06,0,0,0,0.000354974,2,295632,0.000350575,2,295632,0.00032539,2,295632,0,255
sostack,4088,19,2.626e-06,0,0,0,0.000372835,2,312056,0.000374334,2,312056,0.000342179,2,312056,0,255
sostack,4088,20,2.48775e-06,0,0,0,0.000395179,2,328480,0.00039158,2,328480,0.000361332,2,328480,0,255
pstack,32,1,6.225e-08,0,0,0,1.98625e-06,1,64,2.8e-08,1,64,8.36e-07,1,64,0,255
pstack,32,2,3.375e-08,0,0,0,1.5365e-06,1,64,2.525e-08,1,64,5.7625e-07,1,64,0,255
pstack,32,3,3.35e-08,0,0,0,1.39425e-06,1,64,2.6e-08,1,64,5.825e-07,1,64,0,255
pstack,32,4,3.85e-08,0,0,0,1.37225e-06,1,64,2.525e-08,1,64,5.655e-07,1,64,0,255
pstack,32,5,3.85e-08,0,0,0,1.37925e-06,1,64,2.6e-08,1,64,5.5975e-07,1,64,0,255
pstack,32,6,4.55e-08,0,0,0,1.388e-06,1,64,2.6e-08,1,64,5.6e-07,1,64,0,255
pstack,32,7,4.525e-08,0,0,0,1.7815e-06,1,64,2.575e-08,1,64,5.77e-07,1,64,0,255
pstack,32,8,8.85e-08,0,0,0,1.74925e-06,1,64,2.55e-08,1,64,5.7775e-07,1,64,0,255
pstack,32,9,8.525e-08,0,0,0,1.817e-06,1,64,2.575e-08,1,64,5.6825e-07,1,64,0,255
pstack,32,10,8.975e-08,0,0,0,2.0255e-06,1,64,2.575e-08,1,64,5.73e-07,1,64,0,255
pstack,32,11,1.435e-07,0,0,0,3.205e-06,1,64,2.525e-08,1,64,5.885e-07,1,64,0,255
pstack,32,12,3.5225e-07,0,0,0,4.77e-06,1,64,2.55e-08,1,64,6.1475e-07,1,64,0,255
pstack,32,13,8.3875e-07,0,0,0,1.31422e-05,1,64,2.55e-08,1,64,6.5575e-07,1,64,0,255
