test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
somap,11,1,1.8205e-06,0,0,0,3.09768e-05,20,2000,2.84687e-05,20,2000,2.75355e-05,20,2000,0,0
somap,11,2,0.0345375,0,0,0,0.0326809,36,7200,0.0368582,36,7200,0.0404917,36,7200,1,0
somap,11,3,0.115156,0,0,0,0.116048,52,15600,0.0763244,52,15600,0.0771674,52,15600,1,0
somap,11,4,0.115155,0,0,0,0.117512,72,28800,0.0749656,72,28800,0.0770368,72,28800,1,0
somap,11,5,0.115469,0,0,0,0.116087,88,44000,0.0753183,88,44000,0.0779212,88,44000,1,0
somap,11,6,0.114253,0,0,0,0.116069,104,62400,0.0761882,104,62400,0.077889,104,62400,1,0
somap,11,7,0.114745,0,0,0,0.116268,124,86800,0.0767022,124,86800,0.0769751,124,86800,1,0
somap,11,8,0.114081,0,0,0,0.0971619,140,112000,0.0571182,140,112000,0.0584758,140,112000,1,0
somap,11,9,0.113867,0,0,0,0.0968552,156,140400,0.0578083,156,140400,0.0585473,156,140400,1,0
somap,11,10,0.114437,0,0,0,0.0969554,176,176000,0.091586,176,176000,0.0623663,176,176000,1,0
somap,11,11,0.114789,0,0,0,0.149094,192,211200,0.115356,192,211200,0.0964915,192,211200,1,0
somap,11,12,0.115508,0,0,0,0.148884,208,249600,0.115626,208,249600,0.119956,208,249600,1,0
somap,11,13,0.0965288,0,0,0,0.134255,228,296400,0.163434,228,296400,0.115375,228,296400,1,0
somap,11,14,0.110542,0,0,0,1.55281,244,341600,1.60115,244,341600,1.46641,244,341600,1,0
somap,11,15,0.110843,0,0,0,3.62121,260,390000,3.71992,260,390000,3.50959,260,390000,1,0
somap,11,16,0.2248,0,0,0,6.25976,280,448000,5.43193,280,448000,5.90578,280,448000,1,0
somap,11,17,0.297609,0,0,0,9.15375,296,503200,8.13488,296,503200,8.67847,296,503200,1,0
somap,11,18,0.399389,0,0,0,12.0825,312,561600,11.8406,312,561600,13.0529,312,561600,1,0
somap,11,19,0.538121,0,0,0,14.5433,332,630800,15.5586,332,630800,15.8459,332,630800,1,0
somap,11,20,0.658302,0,0,0,18.3512,348,696000,19.4136,348,696000,18.957,348,696000,1,0
domap,11,1,3.36425e-06,0,0,0,0.287294,112,18400,0.0763871,56,9200,0.0764855,56,9200,1,0
domap,11,2,0.114388,0,0,0,0.134267,176,45600,0.0770339,88,22800,0.0777656,88,22800,1,0
domap,11,3,0.115581,0,0,0,0.134458,248,88800,0.0769473,124,44400,0.0768254,124,44400,1,0
domap,11,4,0.11445,0,0,0,0.134866,320,145600,0.0769868,160,72800,0.0776757,160,72800,1,0
domap,11,5,0.115564,0,0,0,0.134391,384,212800,0.0783533,192,106400,0.0756346,192,106400,1,0
domap,11,6,0.114638,0,0,0,0.134805,456,298400,0.0790669,228,149200,0.0753765,228,149200,1,0
domap,11,7,0.114802,0,0,0,0.115776,528,397600,0.0588547,264,198800,0.0572418,264,198800,1,0
domap,11,8,0.114361,0,0,0,0.115525,592,504800,0.0580053,296,252400,0.0578454,296,252400,1,0
domap,11,9,0.114148,0,0,0,0.116377,664,632800,0.0594637,332,316400,0.0560369,332,316400,1,0
domap,11,10,0.114297,0,0,0,0.115525,736,774400,0.0876642,368,387200,0.0574892,368,387200,1,0
domap,11,11,0.115131,0,0,0,0.150175,800,921600,0.124003,400,460800,0.105809,400,460800,1,0
domap,11,12,0.11048,0,0,0,0.286324,872,1092000,0.252418,436,546000,0.283205,436,546000,1,0
domap,11,13,0.116086,0,0,0,0.596087,944,1276000,0.316775,472,638000,0.418597,472,638000,1,0
domap,11,14,0.120437,0,0,0,2.39422,1008,1463200,3.1774,504,731600,2.07209,504,731600,1,0
