n,alloc,insert,insert_accesses,insert_bytes,delete,delete_accesses,delete_bytes
1,2.512e-06,0.000138207,25,9520,8.99648e-05,20,7616
2,1.65025e-06,0.000132701,25,12880,0.000114934,20,10304
3,2.16975e-06,0.000168413,25,16240,0.000142,20,12992
4,3.002e-06,0.00019194,25,19600,0.000167752,20,15680
5,6.57925e-06,0.00022857,25,22960,0.000187508,20,18368
6,1.08743e-05,0.000257656,25,26320,0.000205698,20,21056
7,2.65948e-05,0.000309781,25,29680,0.000221968,20,23744
8,4.49615e-05,0.000382243,25,33040,0.000242056,20,26432
9,0.00010207,0.000504218,25,36400,0.000263142,20,29120
10,0.000192142,0.00069342,25,39760,0.000290329,20,31808
11,0.000406954,0.00109003,25,43120,0.00031502,20,34496
12,0.0008134,0.0019429,25,46480,0.000341832,20,37184
13,0.00168306,0.00347399,25,49840,0.000373682,20,39872
14,0.00339614,0.00659642,25,53200,0.000384991,20,42560
15,0.00674888,0.0126664,25,56560,0.00040779,20,45248
16,0.0134765,0.0248753,25,59920,0.000436978,20,47936
17,0.0271899,0.0497789,25,63280,0.000460417,20,50624
18,0.0645088,0.110011,25,66640,0.000481952,20,53312
19,0.129711,0.221359,25,70000,0.000508581,20,56000
20,0.26425,0.448367,25,73360,0.000543097,20,58688
21,0.529898,0.894226,25,76720,0.000555845,20,61376
22,0.964761,1.63103,25,80080,0.000596617,20,64064
23,1.92763,3.25587,25,83440,0.000617631,20,66752
24,3.85438,6.50574,25,86800,0.000623069,20,69440
