n,alloc,insert,insert_accesses,insert_bytes,delete,delete_accesses,delete_bytes
1,3.06275e-06,0.000508793,144,59904,0.000233176,72,29952
2,1.93825e-06,0.000977107,208,129792,0.000488659,104,64896
3,1.9365e-06,0.00175771,288,239616,0.000890411,144,119808
4,3.4565e-06,0.00261907,352,366080,0.00133042,176,183040
5,6.823e-06,0.00368594,416,519168,0.00185819,208,259584
6,1.84668e-05,0.00503715,496,722176,0.00258938,248,361088
7,2.3813e-05,0.00641517,560,931840,0.00328483,280,465920
8,4.71785e-05,0.00795828,624,1168128,0.00405141,312,584064
9,9.60665e-05,0.00992875,704,1464320,0.00503036,352,732160
10,0.000205157,0.0119649,768,1757184,0.00597799,384,878592
11,0.000412925,0.0144413,832,2076672,0.00704411,416,1038336
12,0.000804187,0.0177932,912,2466048,0.00835786,456,1233024
13,0.00161683,0.0217107,976,2842112,0.00959279,488,1421056
14,0.00316788,0.0271604,1040,3244800,0.0108926,520,1622400
15,0.00635352,0.0362145,1120,3727360,0.0124691,560,1863680
16,0.0129468,0.0509996,1184,4186624,0.013963,592,2093312
17,0.0258523,0.0772703,1248,4672512,0.0155694,624,2336256
18,0.0611172,0.138568,1328,5248256,0.0175075,664,2624128
19,0.12266,0.247097,1392,5790720,0.0193246,696,2895360
20,0.245645,0.459344,1456,6359808,0.0212394,728,3179904
21,0.488639,0.875773,1536,7028736,0.023468,768,3514368
22,1.06007,1.96214,1600,7654400,0.0280206,800,3827200
23,2.38363,4.0885,1664,8306688,0.0327969,832,4153344
24,3.58614,6.11781,1728,8985600,0.0298755,864,4492800
