n,alloc,insert,insert_accesses,insert_bytes,delete,delete_accesses,delete_bytes
1,2.28625e-06,5.7007e-05,8,1792,1.1567e-05,4,896
2,1.895e-07,3.32257e-05,8,2688,1.6557e-05,4,1344
3,1.875e-07,4.24567e-05,8,3584,2.04435e-05,4,1792
4,1.38125e-06,5.17557e-05,8,4480,2.5294e-05,4,2240
5,3.464e-06,7.23513e-05,8,5376,2.96512e-05,4,2688
6,5.5325e-06,7.95753e-05,8,6272,3.44672e-05,4,3136
7,1.32637e-05,9.87613e-05,8,7168,4.0596e-05,4,3584
8,2.28727e-05,0.000130337,8,8064,4.38485e-05,4,4032
9,4.97228e-05,0.000188088,8,8960,4.79515e-05,4,4480
10,0.000103941,0.000293258,8,9856,5.2933e-05,4,4928
11,0.00021513,0.000495764,8,10752,5.52105e-05,4,5376
12,0.00042371,0.000889381,8,11648,5.95217e-05,4,5824
13,0.000842059,0.00168903,8,12544,6.55015e-05,4,6272
14,0.0016339,0.00312502,8,13440,7.00403e-05,4,6720
15,0.00322114,0.00599958,8,14336,7.34335e-05,4,7168
16,0.00638211,0.011682,8,15232,7.91773e-05,4,7616
17,0.0127639,0.0231573,8,16128,8.50792e-05,4,8064
18,0.0256711,0.0464172,8,17024,9.26112e-05,4,8512
19,0.0598002,0.101193,8,17920,9.25555e-05,4,8960
20,0.120203,0.203376,8,18816,9.9161e-05,4,9408
21,0.23882,0.404507,8,19712,0.000103003,4,9856
22,0.483845,0.816763,8,20608,0.000107822,4,10304
23,0.964643,1.62924,8,21504,0.000115501,4,10752
24,1.91682,3.23533,8,22400,0.000123324,4,11200
