n,alloc,insert,insert_accesses,insert_bytes,delete,delete_accesses,delete_bytes
1,1.858e-06,4.61233e-05,5,1232,1.79032e-05,5,1232
2,1.4025e-07,1.95537e-05,5,1904,2.18428e-05,5,1904
3,5.1325e-07,2.51607e-05,5,2576,2.77278e-05,5,2576
4,4.735e-07,3.03722e-05,5,3248,3.39505e-05,5,3248
5,8.67e-07,3.5888e-05,5,3920,3.76552e-05,5,3920
6,1.4025e-06,4.17543e-05,5,4592,4.43405e-05,5,4592
7,3.3975e-06,4.89985e-05,5,5264,4.96123e-05,5,5264
8,7.69275e-06,5.9029e-05,5,5936,5.59832e-05,5,5936
9,3.1706e-05,9.08623e-05,5,6608,5.83732e-05,5,6608
10,9.98463e-05,0.000160112,5,7280,6.199e-05,5,7280
11,0.000220679,0.000287294,5,7952,6.7354e-05,5,7952
12,0.000547642,0.000622015,5,8624,7.4095e-05,5,8624
13,0.00132042,0.00142815,5,9296,8.03435e-05,5,9296
14,0.00260874,0.00272279,5,9968,9.2954e-05,5,9968
15,0.00573861,0.00586423,5,10640,9.25543e-05,5,10640
16,0.0117179,0.0118502,5,11312,9.9719e-05,5,11312
17,0.0234773,0.0236247,5,11984,0.000109922,5,11984
18,0.0525451,0.0526735,5,12656,0.00011069,5,12656
19,0.104141,0.104277,5,13328,0.000121339,5,13328
20,0.210148,0.210293,5,14000,0.000122905,5,14000
21,0.424837,0.424989,5,14672,0.000129384,5,14672
22,0.850685,0.850844,5,15344,0.000135913,5,15344
23,1.75341,1.75547,5,16016,0.000142149,5,16016
24,3.51387,3.51575,5,16688,0.000171966,5,16688
