n,alloc,insert,insert_accesses,insert_bytes,delete,delete_accesses,delete_bytes
1,2.0885e-06,7.31338e-05,20,4160,3.63455e-05,20,4160
2,1.9825e-07,0.000117883,36,14976,0.00011827,36,14976
3,6.8125e-07,0.000256547,52,32448,0.000250035,52,32448
4,6.725e-07,0.000435386,72,59904,0.000449687,72,59904
5,7.7175e-07,0.000657245,88,91520,0.000682023,88,91520
6,1.536e-06,0.000929145,104,129792,0.000943802,104,129792
7,4.60475e-06,0.00125717,124,180544,0.0012955,124,180544
8,1.20367e-05,0.00160069,140,232960,0.00165499,140,232960
9,2.7049e-05,0.00198923,156,292032,0.00204392,156,292032
10,0.000102448,0.00255065,176,366080,0.00252394,176,366080
11,0.00022784,0.00311806,192,439296,0.00298704,192,439296
12,0.000528672,0.00394062,208,519168,0.00350762,208,519168
13,0.00123613,0.00528955,228,616512,0.00419119,228,616512
14,0.00265364,0.00736194,244,710528,0.00481745,244,710528
15,0.00548394,0.0109036,260,811200,0.00548309,260,811200
16,0.011211,0.0174401,280,931840,0.00629093,280,931840
17,0.0219383,0.0289065,296,1046656,0.00702842,296,1046656
18,0.0488323,0.0565826,312,1168128,0.00782795,312,1168128
19,0.0974035,0.106105,332,1312064,0.00877588,332,1312064
20,0.197478,0.20705,348,1447680,0.009665,348,1447680
21,0.398281,0.408793,364,1589952,0.010603,364,1589952
22,0.79349,0.80511,384,1757184,0.0116988,384,1757184
23,1.62229,1.63732,400,1913600,0.0128607,400,1913600
24,3.23059,3.24744,416,2076672,0.0143001,416,2076672
