n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,delete,delete_accesses,delete_bytes
1,2.43025e-06,2.99887e-05,1,112,1.00847e-05,2,224,5.49275e-06,2,224
2,9.075e-08,5.203e-06,1,336,1.0021e-05,2,448,8.0835e-06,2,448
3,9.375e-08,1.17838e-05,1,784,1.39017e-05,2,672,1.31558e-05,2,672
4,1.0125e-07,2.49555e-05,1,1680,1.66715e-05,2,896,1.58782e-05,2,896
5,4.5375e-07,5.1375e-05,1,3472,1.93338e-05,2,1120,1.8763e-05,2,1120
6,4.115e-07,0.000104295,1,7056,2.20455e-05,2,1344,2.13145e-05,2,1344
7,5.1375e-07,0.000213082,1,14224,2.51387e-05,2,1568,2.41903e-05,2,1568
8,4.3725e-07,0.000422494,1,28560,2.75265e-05,2,1792,2.7344e-05,2,1792
9,6.5625e-07,0.000859482,1,57232,3.23605e-05,2,2016,2.9896e-05,2,2016
10,7.2975e-07,0.001699,1,114576,3.39457e-05,2,2240,3.30913e-05,2,2240
11,1.26475e-06,0.00342765,1,229264,3.69185e-05,2,2464,3.5644e-05,2,2464
12,1.08425e-06,0.0068255,1,458640,4.17117e-05,2,2688,3.85103e-05,2,2688
13,1.34625e-06,0.0136748,1,917392,4.4112e-05,2,2912,4.16303e-05,2,2912
14,1.51225e-06,0.0273425,1,1834896,4.9088e-05,2,3136,4.461e-05,2,3136
15,2.05025e-06,0.054703,1,3669904,5.20622e-05,2,3360,4.68178e-05,2,3360
16,2.07975e-06,0.109385,1,7339920,5.50893e-05,2,3584,5.0706e-05,2,3584
17,2.3015e-06,0.21871,1,14679952,5.9167e-05,2,3808,5.55633e-05,2,3808
18,2.41425e-06,0.437433,1,29360016,6.2435e-05,2,4032,5.67025e-05,2,4032
19,5.81975e-06,0.884037,1,58720144,7.03745e-05,2,4256,6.03652e-05,2,4256
20,6.495e-06,1.76618,1,117440400,8.24795e-05,2,4480,7.4448e-05,2,4480
21,7.96625e-06,3.52934,1,234880912,9.44487e-05,2,4704,0.000251518,2,4704
22,8.568e-06,7.06415,1,469761936,0.000101297,2,4928,0.000298581,2,4928
23,9.1165e-06,14.1168,1,939523984,0.000102344,2,5152,0.000235947,2,5152
24,9.0105e-06,28.2216,1,1879048080,0.000103448,2,5376,7.76545e-05,2,5376
