test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
somap,11,1,1.9965e-06,0,0,0,3.15098e-05,20,2000,3.46348e-05,20,2000,2.78542e-05,20,2000,0,0
somap,11,2,2.1725e-07,0,0,0,9.0946e-05,36,7200,8.83395e-05,36,7200,8.72757e-05,36,7200,0,0
somap,11,3,9.82e-07,0,0,0,0.000179661,52,15600,0.00018537,52,15600,0.000181956,52,15600,0,0
somap,11,4,1.15025e-06,0,0,0,0.000318937,72,28800,0.000325815,72,28800,0.000326595,72,28800,0,0
somap,11,5,1.04475e-06,0,0,0,0.000471808,88,44000,0.000488619,88,44000,0.000489771,88,44000,0,0
somap,11,6,9.8875e-07,0,0,0,0.000659906,104,62400,0.000679663,104,62400,0.000684143,104,62400,0,0
somap,11,7,1.4145e-06,0,0,0,0.000897807,124,86800,0.000940968,124,86800,0.000945721,124,86800,0,0
somap,11,8,1.18e-06,0,0,0,0.00112298,140,112000,0.00119722,140,112000,0.00120705,140,112000,0,0
somap,11,9,1.46025e-06,0,0,0,0.00138201,156,140400,0.00145514,156,140400,0.00147834,156,140400,0,0
somap,11,10,2.87425e-06,0,0,0,0.00172375,176,176000,0.00178862,176,176000,0.00181632,176,176000,0,0
somap,11,11,3.3665e-06,0,0,0,0.00204416,192,211200,0.00211167,192,211200,0.0021458,192,211200,0,0
somap,11,12,4.32325e-06,0,0,0,0.00241097,208,249600,0.00246793,208,249600,0.00249986,208,249600,0,0
somap,11,13,3.71625e-06,0,0,0,0.00285541,228,296400,0.00291268,228,296400,0.00295753,228,296400,0,0
somap,11,14,5.09575e-06,0,0,0,0.00329306,244,341600,0.00336794,244,341600,0.00340664,244,341600,0,0
somap,11,15,4.66925e-06,0,0,0,0.00377093,260,390000,0.00383862,260,390000,0.00384555,260,390000,0,0
somap,11,16,3.63325e-06,0,0,0,0.00436513,280,448000,0.00442124,280,448000,0.0044697,280,448000,0,0
somap,11,17,5.058e-06,0,0,0,0.00523219,296,503200,0.00519465,296,503200,0.00517307,296,503200,0,0
somap,11,18,6.90375e-06,0,0,0,0.00627342,312,561600,0.00604288,312,561600,0.00596885,312,561600,0,0
somap,11,19,5.8235e-06,0,0,0,0.00690524,332,630800,0.0067615,332,630800,0.00670417,332,630800,0,0
somap,11,20,5.47675e-06,0,0,0,0.00757049,348,696000,0.00745073,348,696000,0.00747997,348,696000,0,0
somap,11,21,7.346e-06,0,0,0,0.00867162,364,764400,0.0084366,364,764400,0.00843067,364,764400,0,0
somap,11,22,7.75725e-06,0,0,0,0.0097672,384,844800,0.00951832,384,844800,0.00957551,384,844800,0,0
somap,11,23,8.905e-06,0,0,0,0.0108687,400,920000,0.0105342,400,920000,0.0105672,400,920000,0,0
somap,11,24,9.8e-06,0,0,0,0.0121848,416,998400,0.0117651,416,998400,0.0116023,416,998400,0,0
domap,11,1,2.04325e-06,0,0,0,0.00023572,112,18400,0.000117715,56,9200,0.00011875,56,9200,0,0
domap,11,2,3.5725e-07,0,0,0,0.00054386,176,45600,0.00027163,88,22800,0.000268869,88,22800,0,0
