n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,8.978e-06,0.000181638,1,152,0.000202126,4,608,6.3275e-06,2,304
2,8.799e-06,0.00017975,3,456,0.000253853,16,2432,1.17775e-05,4,608
3,1.0023e-05,0.000192363,7,1064,0.000343016,48,7296,1.72042e-05,6,912
4,1.3078e-05,0.000223674,15,2280,0.000602254,128,19456,2.2074e-05,8,1216
5,1.1095e-05,0.000279754,31,4712,0.00123503,320,48640,2.84286e-05,10,1520
6,1.2952e-05,0.000378366,63,9576,0.00261309,768,116736,3.31694e-05,12,1824
7,1.744e-05,0.000613609,127,19304,0.00576644,1792,272384,4.02071e-05,14,2128
8,2.365e-05,0.0010554,255,38760,0.0129974,4096,622592,4.52179e-05,16,2432
9,3.5383e-05,0.00191959,511,77672,0.0281658,9216,1400832,4.97618e-05,18,2736
10,6.2243e-05,0.00364313,1023,155496,0.0591562,20480,3112960,2.76828e-05,20,3040
11,8.2956e-05,0.00354958,2047,311144,0.105963,45056,6848512,6.08289e-05,22,3344
12,0.00026908,0.0144603,4095,622440,0.269328,98304,14942208,3.37056e-05,24,3648
13,0.000382261,0.0141668,8191,1245032,0.576133,212992,32374784,7.31901e-05,26,3952
14,0.0010238,0.0566488,16383,2490216,0.732835,458752,69730304,3.9526e-05,28,4256
15,0.00153485,0.0563582,32767,4980584,2.35542,983040,149422080,8.4748e-05,30,4560
16,0.00405442,0.22567,65535,9961320,6.1063,2097152,318767104,8.92857e-05,32,4864
17,0.0079962,0.452128,131071,19922792,13.0677,4456448,677380096,9.6514e-05,34,5168
18,0.0159314,0.907289,262143,39845736,27.7049,9437184,1434451968,0.0001013,36,5472
19,0.03211,1.81759,524287,79691624,57.9406,19922944,3028287488,0.000107531,38,5776
20,0.0639144,3.65521,1048575,159383400,82.6938,41943040,6375342080,5.55519e-05,40,6080
21,0.0991621,3.59859,2097151,318766952,237.709,88080384,13388218368,0.000119195,42,6384
22,0.257679,14.698,4194303,637534056,547.324,184549376,28051505152,0.000125618,44,6688
23,0.51397,29.8346,8388607,1275068264,1169.87,385875968,58653147136,0.000136958,46,6992
24,1.02208,58.0318,16777215,2550136680,1475.94,805306368,122406567936,7.25782e-05,48,7296
