n,fill,fill_accesses,fill_bytes
8,0.000347434,136,20672
16,0.000752924,408,62016
24,0.00124277,760,115520
32,0.00173848,1112,169024
40,0.00232799,1544,234688
48,0.00292727,1976,300352
56,0.00353047,2408,366016
64,0.00413338,2840,431680
72,0.00484734,3352,509504
80,0.00554416,3864,587328
88,0.00625182,4376,665152
96,0.00695806,4888,742976
104,0.00799795,5400,820800
112,0.00938826,5912,898624
120,0.0108146,6424,976448
128,0.0122737,6936,1054272
136,0.0139264,7528,1144256
144,0.015579,8120,1234240
152,0.0172432,8712,1324224
160,0.0189039,9304,1414208
168,0.0205869,9896,1504192
176,0.0222571,10488,1594176
184,0.0239366,11080,1684160
192,0.025471,11672,1774144
200,0.0262975,12264,1864128
208,0.0271159,12856,1954112
216,0.0279326,13448,2044096
224,0.0287818,14040,2134080
232,0.0296012,14632,2224064
240,0.03043,15224,2314048
248,0.0312856,15816,2404032
256,0.032142,16408,2494016
264,0.033073,17080,2596160
272,0.0339776,17752,2698304
280,0.0348842,18424,2800448
288,0.0357896,19096,2902592
296,0.0367352,19768,3004736
304,0.0376479,20440,3106880
312,0.0385682,21112,3209024
320,0.0394972,21784,3311168
328,0.0404328,22456,3413312
336,0.0413462,23128,3515456
344,0.042307,23800,3617600
352,0.0432726,24472,3719744
360,0.0442335,25144,3821888
368,0.0451742,25816,3924032
376,0.0460987,26488,4026176
384,0.0470252,27160,4128320
392,0.0479448,27832,4230464
400,0.048895,28504,4332608
408,0.0498229,29176,4434752
416,0.050745,29848,4536896
424,0.0516726,30520,4639040
432,0.0526102,31192,4741184
440,0.0535357,31864,4843328
448,0.0544594,32536,4945472
456,0.055382,33208,5047616
464,0.0563219,33880,5149760
472,0.0572503,34552,5251904
480,0.0581772,35224,5354048
488,0.0591189,35896,5456192
496,0.0601601,36568,5558336
504,0.0611133,37240,5660480
512,0.0620404,37912,5762624
520,0.0630771,38664,5876928
528,0.0640741,39416,5991232
536,0.0650914,40168,6105536
544,0.0661025,40920,6219840
552,0.0671106,41672,6334144
560,0.0681216,42424,6448448
568,0.0691605,43176,6562752
576,0.0701768,43928,6677056
584,0.0711962,44680,6791360
592,0.0722125,45432,6905664
600,0.0732519,46184,7019968
608,0.0742732,46936,7134272
616,0.0752968,47688,7248576
624,0.0763317,48440,7362880
632,0.0773571,49192,7477184
640,0.0784264,49944,7591488
648,0.079469,50696,7705792
656,0.0805102,51448,7820096
664,0.0815354,52200,7934400
672,0.082559,52952,8048704
680,0.0835903,53704,8163008
688,0.0846302,54456,8277312
696,0.0856589,55208,8391616
704,0.0866879,55960,8505920
712,0.0877153,56712,8620224
720,0.0887633,57464,8734528
728,0.0897918,58216,8848832
736,0.0908241,58968,8963136
