n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
8,0.00031141,118,17936,2.44948e-05,38,5776
16,0.000379424,162,24624,5.57966e-05,50,7600
24,0.000919867,462,70224,6.48358e-05,24,3708
32,0.00113424,542,82384,0.000164669,62,9424
40,0.00179427,814,123728,2.87256e-05,20,3161
48,0.00193206,910,138320,1.64282e-05,12,1824
56,0.00208796,1006,152912,1.62864e-05,12,1824
64,0.00223649,1102,167504,0.000101053,74,11248
72,0.00305835,1694,257488,7.5925e-05,53,8147
80,0.00350326,2014,306128,4.82547e-05,34,5289
88,0.00366173,2126,323152,1.90215e-05,14,2128
96,0.00382087,2238,340176,1.90229e-05,14,2128
104,0.00397987,2350,357200,1.89767e-05,14,2128
112,0.00413806,2462,374224,1.90165e-05,14,2128
120,0.00429734,2574,391248,1.90126e-05,14,2128
128,0.00447438,2686,408272,0.00011623,86,13072
136,0.00543246,3374,512848,0.000119725,86,13072
144,0.00638799,4062,617424,0.000110576,78,11856
152,0.00689662,4430,673360,6.36835e-05,46,6992
160,0.00740322,4798,729296,6.51882e-05,46,6992
168,0.0075832,4926,748752,2.16481e-05,16,2432
176,0.00776323,5054,768208,2.16428e-05,16,2432
184,0.00794317,5182,787664,2.16874e-05,16,2432
192,0.00812297,5310,807120,2.17054e-05,16,2432
200,0.008304,5438,826576,2.16461e-05,16,2432
208,0.00848589,5566,846032,2.29841e-05,16,2432
216,0.00866581,5694,865488,2.17357e-05,16,2432
224,0.0088463,5822,884944,2.16995e-05,16,2432
232,0.00902591,5950,904400,2.16423e-05,16,2432
240,0.00920631,6078,923856,2.17169e-05,16,2432
248,0.00938734,6206,943312,2.16984e-05,16,2432
256,0.00960295,6334,962768,0.000133362,98,14896
264,0.0106677,7118,1081936,0.000137333,98,14896
272,0.0117555,7902,1201104,0.000137169,98,14896
280,0.0128354,8686,1320272,0.000138403,98,14896
288,0.0139307,9470,1439440,0.000138428,98,14896
296,0.0145052,9886,1502672,7.14255e-05,52,7904
304,0.0150815,10302,1565904,7.25944e-05,52,7904
312,0.0156571,10718,1629136,7.24497e-05,52,7904
320,0.0162962,11134,1692368,7.18007e-05,52,7904
328,0.0168726,11550,1755600,4.33777e-05,31,4803
336,0.0170749,11694,1777488,2.43463e-05,18,2736
344,0.0172748,11838,1799376,2.43921e-05,18,2736
352,0.0174767,11982,1821264,2.43328e-05,18,2736
360,0.017679,12126,1843152,2.42999e-05,18,2736
368,0.0178816,12270,1865040,2.43262e-05,18,2736
376,0.0180838,12414,1886928,2.42433e-05,18,2736
384,0.0182862,12558,1908816,2.44361e-05,18,2736
392,0.0184887,12702,1930704,2.56766e-05,18,2736
400,0.0186908,12846,1952592,2.42941e-05,18,2736
408,0.0188942,12990,1974480,2.43496e-05,18,2736
416,0.0190968,13134,1996368,2.44264e-05,18,2736
424,0.0192976,13278,2018256,2.43813e-05,18,2736
432,0.0194997,13422,2040144,2.4244e-05,18,2736
440,0.0197151,13566,2062032,2.42822e-05,18,2736
448,0.0199178,13710,2083920,2.43104e-05,18,2736
456,0.0201203,13854,2105808,2.42865e-05,18,2736
464,0.0203228,13998,2127696,2.43595e-05,18,2736
472,0.020524,14142,2149584,2.43728e-05,18,2736
480,0.0207264,14286,2171472,2.42497e-05,18,2736
488,0.0209291,14430,2193360,2.43579e-05,18,2736
496,0.0211308,14574,2215248,2.43278e-05,18,2736
504,0.0213332,14718,2237136,2.43538e-05,18,2736
512,0.0216038,14862,2259024,0.00014886,110,16720
520,0.0227748,15742,2392784,0.000152708,110,16720
528,0.0239804,16622,2526544,0.000153312,110,16720
536,0.0251904,17502,2660304,0.000152871,110,16720
544,0.0263952,18382,2794064,0.000153381,110,16720
552,0.0275993,19262,2927824,0.000153691,110,16720
560,0.0288102,20142,3061584,0.000153597,110,16720
568,0.0300379,21022,3195344,0.000153411,110,16720
576,0.0312689,21902,3329104,0.000152207,110,16720
584,0.0324978,22782,3462864,0.000108377,78,11977
592,0.0331294,23246,3533392,8.12722e-05,58,8816
600,0.0337671,23710,3603920,8.02074e-05,58,8816
608,0.0344038,24174,3674448,8.11997e-05,58,8816
616,0.0350422,24638,3744976,7.9737e-05,58,8816
624,0.035693,25102,3815504,8.10104e-05,58,8816
632,0.0363346,25566,3886032,8.00062e-05,58,8816
640,0.0369775,26030,3956560,7.97746e-05,58,8816
648,0.0376141,26494,4027088,7.99764e-05,58,8816
656,0.0382522,26958,4097616,6.94677e-05,50,7660
664,0.0384865,27118,4121936,2.68616e-05,20,3040
672,0.038709,27278,4146256,2.69285e-05,20,3040
680,0.0389421,27438,4170576,2.68911e-05,20,3040
688,0.0391638,27598,4194896,2.68709e-05,20,3040
696,0.0393869,27758,4219216,2.68264e-05,20,3040
704,0.0396114,27918,4243536,2.69606e-05,20,3040
712,0.0398359,28078,4267856,2.68893e-05,20,3040
720,0.0400586,28238,4292176,2.7834e-05,20,3040
