n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,8.196e-06,0.000180352,1,152,0.000201242,4,608,5.905e-06,2,304
2,7.302e-06,0.000185628,3,456,0.00024132,16,2432,1.1081e-05,4,608
3,8.87e-06,0.000194043,7,1064,0.000343846,48,7296,1.68804e-05,6,912
4,8.668e-06,0.000221562,15,2280,0.000601599,128,19456,2.22185e-05,8,1216
5,8.755e-06,0.000277207,31,4712,0.00122765,320,48640,2.81376e-05,10,1520
6,9.572e-06,0.000384797,63,9576,0.00260651,768,116736,3.35831e-05,12,1824
7,1.4988e-05,0.000606584,127,19304,0.00583561,1792,272384,4.0678e-05,14,2128
8,2.3353e-05,0.00103117,255,38760,0.0126403,4096,622592,4.37168e-05,16,2432
9,3.8233e-05,0.00192145,511,77672,0.0281054,9216,1400832,4.94883e-05,18,2736
10,7.1045e-05,0.00376944,1023,155496,0.0622627,20480,3112960,5.58362e-05,20,3040
11,0.000136466,0.00739879,2047,311144,0.137962,45056,6848512,6.1804e-05,22,3344
12,0.00027261,0.0143207,4095,622440,0.291971,98304,14942208,6.6514e-05,24,3648
13,0.000523735,0.0287767,8191,1245032,0.643028,212992,32374784,7.26506e-05,26,3952
14,0.00104819,0.0572279,16383,2490216,1.35015,458752,69730304,7.6918e-05,28,4256
15,0.00206554,0.113099,32767,4980584,2.87816,983040,149422080,8.37762e-05,30,4560
16,0.00410421,0.236165,65535,9961320,6.34829,2097152,318767104,9.19045e-05,32,4864
17,0.00803295,0.450764,131071,19922792,9.48704,4456448,677380096,4.56843e-05,34,5168
18,0.0126559,0.454705,262143,39845736,14.1041,9437184,1434451968,4.86426e-05,36,5472
19,0.0260685,0.899715,524287,79691624,35.705,19922944,3028287488,0.000104673,38,5776
20,0.0647865,3.67169,1048575,159383400,121.182,41943040,6375342080,5.59018e-05,40,6080
21,0.102161,3.62017,2097151,318766952,253.946,88080384,13388218368,0.000118993,42,6384
22,0.255374,14.4836,4194303,637534056,419.459,184549376,28051505152,0.000119871,44,6688
23,0.521405,29.1946,8388607,1275068264,1124.45,385875968,58653147136,0.00012719,46,6992
24,1.03349,57.4397,16777215,2550136680,2299.51,805306368,122406567936,0.000130084,48,7296
