n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
8,0.00744545,2236,482976,0.000496349,156,33696,0.000492542,156,33696
16,0.0296504,9340,2017440,0.000895859,288,62208,0.000891279,288,62208
24,0.0654725,20988,4533408,0.00224436,728,157248,0.00223407,728,157248
32,0.101291,32636,7049376,0.0013491,440,95040,0.00134649,440,95040
40,0.152996,49660,10726560,0.00323794,1064,229824,0.0032292,1064,229824
48,0.204741,66684,14403744,0.00324045,1064,229824,0.0032398,1064,229824
56,0.256511,83708,18080928,0.00325359,1064,229824,0.0032449,1064,229824
64,0.308445,100732,21758112,0.00189297,624,134784,0.00188935,624,134784
72,0.380467,124604,26914464,0.00451297,1492,322272,0.00450566,1492,322272
80,0.452363,148476,32070816,0.00450266,1492,322272,0.00449045,1492,322272
88,0.524347,172348,37227168,0.00450642,1492,322272,0.00449747,1492,322272
96,0.596262,196220,42383520,0.00450128,1492,322272,0.00449041,1492,322272
104,0.668098,220092,47539872,0.00450775,1492,322272,0.00449447,1492,322272
112,0.740001,243964,52696224,0.00450382,1492,322272,0.0045001,1492,322272
120,0.811984,267836,57852576,0.00450321,1492,322272,0.00449449,1492,322272
128,0.883962,291708,63008928,0.00261386,868,187488,0.00261038,868,187488
136,0.979073,323516,69879456,0.00597286,1988,429408,0.00596445,1988,429408
144,1.07447,355324,76749984,0.00597315,1988,429408,0.00596844,1988,429408
152,1.16979,387132,83620512,0.00598131,1988,429408,0.00596201,1988,429408
160,1.26522,418940,90491040,0.0059722,1988,429408,0.00596557,1988,429408
168,1.36053,450748,97361568,0.00597043,1988,429408,0.00596151,1988,429408
176,1.45599,482556,104232096,0.00598244,1988,429408,0.0059665,1988,429408
184,1.55142,514364,111102624,0.00597268,1988,429408,0.00597061,1988,429408
192,1.64686,546172,117973152,0.00598005,1988,429408,0.00596742,1988,429408
200,1.7423,577980,124843680,0.00599149,1988,429408,0.00597074,1988,429408
208,1.8377,609788,131714208,0.00599037,1988,429408,0.00597626,1988,429408
216,1.93301,641596,138584736,0.00596332,1988,429408,0.00595203,1988,429408
224,2.02836,673404,145455264,0.00596717,1988,429408,0.00595647,1988,429408
232,2.12375,705212,152325792,0.00597714,1988,429408,0.00597103,1988,429408
240,2.2191,737020,159196320,0.005965,1988,429408,0.00595693,1988,429408
248,2.31455,768828,166066848,0.00598731,1988,429408,0.00596568,1988,429408
256,2.41009,800636,172937376,0.00335546,1120,241920,0.00335456,1120,241920
264,2.53027,841020,181660320,0.00755631,2524,545184,0.00753542,2524,545184
272,2.65078,881404,190383264,0.00753937,2524,545184,0.00754334,2524,545184
280,2.77147,921788,199106208,0.00755824,2524,545184,0.00753665,2524,545184
288,2.89211,962172,207829152,0.00756203,2524,545184,0.00754527,2524,545184
296,3.01278,1002556,216552096,0.0075617,2524,545184,0.00754537,2524,545184
304,3.13345,1042940,225275040,0.00755864,2524,545184,0.00753634,2524,545184
312,3.25403,1083324,233997984,0.0075486,2524,545184,0.00753474,2524,545184
320,3.37469,1123708,242720928,0.00754434,2524,545184,0.00753497,2524,545184
328,3.49507,1164092,251443872,0.00754747,2524,545184,0.007536,2524,545184
336,3.61556,1204476,260166816,0.00755206,2524,545184,0.00753588,2524,545184
344,3.73615,1244860,268889760,0.00754489,2524,545184,0.00753963,2524,545184
352,3.8567,1285244,277612704,0.00756771,2524,545184,0.00755,2524,545184
360,3.97725,1325628,286335648,0.00756518,2524,545184,0.00753919,2524,545184
368,4.09775,1366012,295058592,0.00755352,2524,545184,0.00754184,2524,545184
376,4.21818,1406396,303781536,0.00755362,2524,545184,0.00753558,2524,545184
384,4.33865,1446780,312504480,0.00755605,2524,545184,0.00754242,2524,545184
392,4.45908,1487164,321227424,0.0075482,2524,545184,0.00753416,2524,545184
400,4.57976,1527548,329950368,0.00756227,2524,545184,0.00754538,2524,545184
408,4.70033,1567932,338673312,0.00755375,2524,545184,0.00754244,2524,545184
416,4.82094,1608316,347396256,0.00755203,2524,545184,0.00754575,2524,545184
424,4.94163,1648700,356119200,0.00756581,2524,545184,0.007542,2524,545184
432,5.06222,1689084,364842144,0.00755209,2524,545184,0.00754168,2524,545184
440,5.18294,1729468,373565088,0.00756251,2524,545184,0.00753637,2524,545184
448,5.30361,1769852,382288032,0.00756127,2524,545184,0.00753688,2524,545184
456,5.42443,1810236,391010976,0.00757145,2524,545184,0.00756226,2524,545184
464,5.54532,1850620,399733920,0.00757128,2524,545184,0.00754976,2524,545184
472,5.66601,1891004,408456864,0.00755614,2524,545184,0.00754023,2524,545184
480,5.78662,1931388,417179808,0.00755355,2524,545184,0.00753801,2524,545184
488,5.90731,1971772,425902752,0.00755048,2524,545184,0.00754343,2524,545184
496,6.028,2012156,434625696,0.00756364,2524,545184,0.0075333,2524,545184
504,6.14876,2052540,443348640,0.00755874,2524,545184,0.00754173,2524,545184
512,6.26945,2092924,452071584,0.00419868,1404,303264,0.00418739,1404,303264
520,6.41934,2143548,463006368,0.00944927,3164,683424,0.00944342,3164,683424
528,6.57038,2194172,473941152,0.00945461,3164,683424,0.00943422,3164,683424
536,6.72123,2244796,484875936,0.00944771,3164,683424,0.00942902,3164,683424
544,6.87198,2295420,495810720,0.00945178,3164,683424,0.00945223,3164,683424
552,7.02279,2346044,506745504,0.00946067,3164,683424,0.00943994,3164,683424
560,7.17366,2396668,517680288,0.00944756,3164,683424,0.00943515,3164,683424
568,7.32471,2447292,528615072,0.00944622,3164,683424,0.00943596,3164,683424
576,7.47569,2497916,539549856,0.0094538,3164,683424,0.0094333,3164,683424
584,7.62662,2548540,550484640,0.00945169,3164,683424,0.00943434,3164,683424
592,7.77755,2599164,561419424,0.00945714,3164,683424,0.00942913,3164,683424
600,7.92809,2649788,572354208,0.0094417,3164,683424,0.00942299,3164,683424
608,8.07888,2700412,583288992,0.00944782,3164,683424,0.00942798,3164,683424
616,8.2296,2751036,594223776,0.00944999,3164,683424,0.00943755,3164,683424
624,8.38059,2801660,605158560,0.00944696,3164,683424,0.0094345,3164,683424
632,8.5315,2852284,616093344,0.00945353,3164,683424,0.00943197,3164,683424
640,8.68235,2902908,627028128,0.00943814,3164,683424,0.00942404,3164,683424
648,8.83322,2953532,637962912,0.00944045,3164,683424,0.00942503,3164,683424
656,8.98397,3004156,648897696,0.00942915,3164,683424,0.00941704,3164,683424
664,9.13481,3054780,659832480,0.00943535,3164,683424,0.00941575,3164,683424
672,9.28548,3105404,670767264,0.00944932,3164,683424,0.00942613,3164,683424
680,9.43614,3156028,681702048,0.00944052,3164,683424,0.00942861,3164,683424
688,9.58726,3206652,692636832,0.00946454,3164,683424,0.00942864,3164,683424
696,9.73813,3257276,703571616,0.00944227,3164,683424,0.00942156,3164,683424
704,9.88907,3307900,714506400,0.00944905,3164,683424,0.00944002,3164,683424
712,10.0401,3358524,725441184,0.00945313,3164,683424,0.00943811,3164,683424
720,10.1913,3409148,736375968,0.00945954,3164,683424,0.00944404,3164,683424
728,10.342,3459772,747310752,0.00943484,3164,683424,0.00943292,3164,683424
736,10.4929,3510396,758245536,0.00944428,3164,683424,0.0094318,3164,683424
744,10.6434,3561020,769180320,0.00941838,3164,683424,0.00941645,3164,683424
752,10.7941,3611644,780115104,0.00943057,3164,683424,0.0094191,3164,683424
760,10.945,3662268,791049888,0.0094658,3164,683424,0.00943558,3164,683424
768,11.0959,3712892,801984672,0.00945642,3164,683424,0.00942479,3164,683424
776,11.2467,3763516,812919456,0.00945385,3164,683424,0.00943084,3164,683424
784,11.3974,3814140,823854240,0.00943648,3164,683424,0.00942055,3164,683424
792,11.548,3864764,834789024,0.00944832,3164,683424,0.0094339,3164,683424
800,11.6989,3915388,845723808,0.00945776,3164,683424,0.00943313,3164,683424
808,11.8499,3966012,856658592,0.00944244,3164,683424,0.00943194,3164,683424
816,12.0007,4016636,867593376,0.00944843,3164,683424,0.00942416,3164,683424
824,12.1516,4067260,878528160,0.00944202,3164,683424,0.00943178,3164,683424
832,12.3023,4117884,889462944,0.00945314,3164,683424,0.00942879,3164,683424
840,12.453,4168508,900397728,0.00943372,3164,683424,0.00942076,3164,683424
