n,rar,rar_accesses,rar_bytes
16777344,0.000341197,234,35568
16777216,0.000339207,234,35568
16777088,0.000337223,234,35568
16776960,0.000328474,234,35568
16776832,0.000330842,234,35568
16776704,0.0003435,234,35568
16776576,0.000327757,234,35568
16776448,0.000328729,234,35568
16776320,0.000331133,234,35568
16776192,0.000331485,234,35568
16776064,0.000338158,234,35568
16775936,0.000332043,234,35568
16775808,0.000329913,234,35568
16775680,0.000345193,234,35568
16775552,0.000328923,234,35568
16775424,0.000330951,234,35568
16775296,0.000328585,234,35568
16775168,0.00033396,234,35568
16775040,0.000328755,234,35568
16774912,0.000329891,234,35568
16774784,0.000331353,234,35568
16774656,0.000330396,234,35568
16774528,0.000328598,234,35568
16774400,0.000338008,234,35568
16774272,0.000329948,234,35568
16774144,0.000327806,234,35568
16774016,0.000329505,234,35568
16773888,0.000329082,234,35568
16773760,0.000335854,234,35568
16773632,0.000330409,234,35568
16773504,0.000332033,234,35568
16773376,0.000339522,234,35568
16773248,0.000331676,234,35568
16773120,0.000335912,234,35568
16772992,0.000328165,234,35568
16772864,0.000331524,234,35568
16772736,0.000338232,234,35568
16772608,0.000328435,234,35568
16772480,0.000328861,234,35568
16772352,0.000329801,234,35568
16772224,0.000331529,234,35568
16772096,0.000340315,234,35568
16771968,0.000329344,234,35568
16771840,0.000328945,234,35568
16771712,0.000328773,234,35568
16771584,0.000327967,234,35568
16771456,0.000340688,234,35568
16771328,0.000330431,234,35568
16771200,0.000328887,234,35568
16771072,0.00034402,234,35568
16770944,0.000327111,234,35568
16770816,0.000328608,234,35568
16770688,0.000328764,234,35568
16770560,0.00032859,234,35568
16770432,0.00034046,234,35568
16770304,0.000329701,234,35568
16770176,0.000329399,234,35568
16770048,0.000329498,234,35568
16769920,0.000330323,234,35568
16769792,0.000340301,234,35568
16769664,0.00033012,234,35568
16769536,0.000342324,234,35568
16769408,0.00032859,234,35568
16769280,0.000330378,234,35568
16769152,0.00032791,234,35568
16769024,0.000339504,234,35568
16768896,0.000328182,234,35568
16768768,0.000328029,234,35568
16768640,0.000328519,234,35568
16768512,0.00033068,234,35568
16768384,0.000330056,234,35568
16768256,0.000330029,234,35568
16768128,0.000328106,234,35568
16768000,0.000332663,234,35568
16767872,0.000328762,234,35568
16767744,0.000329563,234,35568
16767616,0.000340062,234,35568
16767488,0.000327535,234,35568
16767360,0.000334304,234,35568
16767232,0.00032829,234,35568
16767104,0.000328478,234,35568
16766976,0.000329568,234,35568
16766848,0.000328235,234,35568
16766720,0.000337064,234,35568
16766592,0.000326855,234,35568
16766464,0.000326715,234,35568
16766336,0.000328151,234,35568
16766208,0.000329783,234,35568
16766080,0.000327692,234,35568
16765952,0.000328102,234,35568
16765824,0.000329962,234,35568
16765696,0.000328476,234,35568
16765568,0.000328407,234,35568
16765440,0.000326726,234,35568
16765312,0.000336596,234,35568
16765184,0.000329899,234,35568
16765056,0.000327914,234,35568
16764928,0.000338526,234,35568
16764800,0.000329584,234,35568
16764672,0.000328314,234,35568
16764544,0.000329858,234,35568
16764416,0.000327659,234,35568
16764288,0.000337147,234,35568
16764160,0.000326594,234,35568
16764032,0.000335267,234,35568
16763904,0.000330997,234,35568
16763776,0.000327986,234,35568
16763648,0.00032855,234,35568
16763520,0.00032676,234,35568
16763392,0.000340955,234,35568
16763264,0.000329008,234,35568
16763136,0.000329399,234,35568
16763008,0.00032724,234,35568
16762880,0.000328492,234,35568
16762752,0.000328714,234,35568
16762624,0.000327599,234,35568
16762496,0.000337302,234,35568
16762368,0.000327466,234,35568
16762240,0.000328176,234,35568
16762112,0.000328184,234,35568
16761984,0.000336544,234,35568
16761856,0.000326798,234,35568
16761728,0.000326606,234,35568
16761600,0.000326367,234,35568
16761472,0.000327491,234,35568
16761344,0.000326925,234,35568
16761216,0.000327835,234,35568
16761088,0.000346102,234,35568
16760960,0.000328728,234,35568
16760832,0.000354986,234,35568
16760704,0.000328179,234,35568
