,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,7.818e-06,0.000185322,2,240,0.000255049,22,2640,2.0406e-06,1,120,3.10549e-05,11,1320
1,2,6.899e-06,0.000193851,4,480,0.000400821,68,8160,2.0334e-06,1,120,4.51309e-05,17,2040
2,3,8.659e-06,0.000194172,8,960,0.000675834,184,22080,2.0046e-06,1,120,6.00124e-05,23,2760
3,4,8.61e-06,0.000220941,16,1920,0.00142093,464,55680,2.031e-06,1,120,7.5009e-05,29,3480
4,5,9.736e-06,0.00027455,32,3840,0.00318215,1120,134400,2.0138e-06,1,120,9.11714e-05,35,4200
5,6,1.2609e-05,0.000380379,64,7680,0.00705667,2624,314880,2.0006e-06,1,120,0.000104056,41,4920
6,7,1.9059e-05,0.000603494,128,15360,0.0161912,6016,721920,2.0147e-06,1,120,0.000120084,47,5640
7,8,2.8167e-05,0.0010511,256,30720,0.0357435,13568,1628160,2.0402e-06,1,120,0.000132357,53,6360
8,9,7.289e-05,0.0019532,512,61440,0.0799196,30208,3624960,2.0794e-06,1,120,0.000152568,59,7080
9,10,0.000106531,0.00370985,1024,122880,0.1745,66560,7987200,2.0788e-06,1,120,0.000165194,65,7800
10,11,0.000200772,0.00731513,2048,245760,0.382001,145408,17448960,2.0835e-06,1,120,0.000181059,71,8520
11,12,0.000413746,0.0142304,4096,491520,0.827284,315392,37847040,2.0889e-06,1,120,0.000197607,77,9240
12,13,0.000785452,0.0283571,8192,983040,1.78274,679936,81592320,2.1298e-06,1,120,0.000212987,83,9960
13,14,0.00161078,0.0566405,16384,1966080,3.80738,1458176,174981120,2.0867e-06,1,120,0.000228151,89,10680
14,15,0.00321677,0.113119,32768,3932160,8.15277,3112960,373555200,2.0704e-06,1,120,0.000243493,95,11400
15,16,0.00632498,0.225958,65536,7864320,17.2369,6619136,794296320,2.0259e-06,1,120,0.000259353,101,12120
16,17,0.0128219,0.454686,131072,15728640,36.6404,14024704,1682964480,2.0914e-06,1,120,0.00027924,107,12840
17,18,0.025176,0.89591,262144,31457280,77.5616,29622272,3554672640,2.0734e-06,1,120,0.000290207,113,13560
18,19,0.0502592,1.80306,524288,62914560,164.449,62390272,7486832640,2.0783e-06,1,120,0.000307789,119,14280
19,20,0.100397,3.60429,1048576,125829120,343.207,131072000,15728640000,2.0553e-06,1,120,0.000322097,125,15000
20,21,0.201784,7.30428,2097152,251658240,727.234,274726912,32967229440,2.0623e-06,1,120,0.000336023,131,15720
21,22,0.400668,14.4647,4194304,503316480,1509.82,574619648,68954357760,2.0896e-06,1,120,0.000355534,137,16440
22,23,0.79671,29.019,8388608,1006632960,2028.22,1199570944,143948513280,1.0377e-06,1,120,0.000189328,143,17160
23,24,1.22978,28.6967,16777216,2013265920,3885.96,2499805184,299976622080,2.0898e-06,1,120,0.000389366,149,17880
