,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,9.867e-06,0.000180294,1,216,0.000338545,40,8640,7.25322e-05,20,4320,7.22961e-05,20,4320
1,2,6.968e-06,0.00017892,3,648,0.00114121,288,62208,0.000239318,72,15552,0.000238887,72,15552
2,3,9.222e-06,0.000196173,7,1512,0.00413388,1248,269568,0.000489619,156,33696,0.000490793,156,33696
3,4,8.194e-06,0.000218147,15,3240,0.0146302,4608,995328,0.000899315,288,62208,0.000898714,288,62208
4,5,1.0198e-05,0.00028209,31,6696,0.042972,14080,3041280,0.00133706,440,95040,0.00133573,440,95040
5,6,1.2473e-05,0.000396793,63,13608,0.120969,39936,8626176,0.00188931,624,134784,0.00188704,624,134784
6,7,2.2998e-05,0.00064964,127,27432,0.337059,111104,23998464,0.00263703,868,187488,0.00262941,868,187488
7,8,3.2067e-05,0.00109981,255,55080,0.869843,286720,61931520,0.00340298,1120,241920,0.00339183,1120,241920
8,9,5.4988e-05,0.00205247,511,110376,2.13386,718848,155271168,0.00417653,1404,303264,0.00417608,1404,303264
9,10,0.000102108,0.00399255,1023,220968,5.40958,1802240,389283840,0.00528953,1760,380160,0.00529228,1760,380160
10,11,0.000189585,0.00764668,2047,442152,12.9326,4325376,934281216,0.00632864,2112,456192,0.00630928,2112,456192
11,12,0.000373767,0.0150735,4095,884520,29.9787,10223616,2208301056,0.00732933,2496,539136,0.00733458,2496,539136
12,13,0.000733245,0.0300624,8191,1769256,71.8157,24281088,5244715008,0.00879997,2964,640224,0.00876258,2964,640224
13,14,0.0014547,0.0607422,16383,3538728,166.932,55967744,12089032704,0.010182,3416,737856,0.0101686,3416,737856
14,15,0.00288768,0.119031,32767,7077672,375.177,127795200,27603763200,0.0114679,3900,842400,0.0114413,3900,842400
15,16,0.00576969,0.245063,65535,14155560,735.125,293601280,63417876480,0.0134944,4480,967680,0.0134635,4480,967680
16,17,0.0115071,0.484721,131071,28311336,1958.89,659554304,142463729664,0.0149981,5032,1086912,0.0149494,5032,1086912
17,18,0.0231243,0.955539,262143,56622888,2335.41,1472200704,317995352064,0.00892788,5616,1213056,0.00892335,5616,1213056
18,19,0.0360958,0.974408,524287,113245992,4915.01,3307208704,714357080064,0.00941322,6308,1362528,0.00936941,6308,1362528
19,20,0.071858,1.95862,1048575,226492200,10870.4,7298088960,1576387215360,0.0104396,6960,1503360,0.0104874,6960,1503360
20,21,0.143748,3.94752,2097151,452984616,24005.3,16030629888,3462616055808,0.0114143,7644,1651104,0.0114564,7644,1651104
21,22,0.287987,8.16021,4194303,905969448,56686.8,35433480192,7653631721472,0.0135184,8448,1824768,0.0135196,8448,1824768
22,23,0.578486,15.6382,8388607,1811939112,116120.0,77175193600,16669841817600,0.0138743,9200,1987200,0.0137963,9200,1987200
23,24,1.14574,32.5817,16777215,3623878440,273567.0,167503724544,36180804501504,0.0160945,9984,2156544,0.0160255,9984,2156544
