n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,9.473e-06,0.000180052,1,120,0.000197759,4,480,6.095e-06,2,240
2,6.671e-06,0.00017966,3,360,0.000228334,16,1920,1.15185e-05,4,480
3,7.055e-06,0.000189259,7,840,0.000326152,48,5760,1.66912e-05,6,720
4,8.067e-06,0.000245402,15,1800,0.000601198,128,15360,2.18702e-05,8,960
5,8.553e-06,0.000272006,31,3720,0.00117849,320,38400,2.79842e-05,10,1200
6,1.0126e-05,0.000380423,63,7560,0.00250082,768,92160,3.29008e-05,12,1440
7,1.3026e-05,0.00060018,127,15240,0.00551146,1792,215040,3.80964e-05,14,1680
8,1.9053e-05,0.00103236,255,30600,0.0123393,4096,491520,4.38579e-05,16,1920
9,2.9249e-05,0.00190442,511,61320,0.0273307,9216,1105920,4.91872e-05,18,2160
10,5.3677e-05,0.00366262,1023,122760,0.0598797,20480,2457600,5.44189e-05,20,2400
11,0.000115067,0.007392,2047,245640,0.132963,45056,5406720,6.05953e-05,22,2640
12,0.000202983,0.0146305,4095,491400,0.287589,98304,11796480,6.60606e-05,24,2880
13,0.00041046,0.0282641,8191,982920,0.608378,212992,25559040,7.14359e-05,26,3120
14,0.00080488,0.0569055,16383,1965960,1.32935,458752,55050240,7.80753e-05,28,3360
15,0.00158409,0.111718,32767,3932040,2.77337,983040,117964800,8.09102e-05,30,3600
16,0.00320146,0.225327,65535,7864200,5.97044,2097152,251658240,8.75175e-05,32,3840
17,0.00638288,0.447812,131071,15728520,12.5542,4456448,534773760,9.341e-05,34,4080
18,0.0126971,0.892895,262143,31457160,26.5679,9437184,1132462080,9.75303e-05,36,4320
19,0.0252147,1.78835,524287,62914440,55.9028,19922944,2390753280,0.000103122,38,4560
20,0.0500035,3.68076,1048575,125829000,111.8,41943040,5033164800,5.43307e-05,40,4800
21,0.0780474,3.53926,2097151,251658120,204.319,88080384,10569646080,0.000114279,42,5040
22,0.200824,14.2941,4194303,503316360,516.426,184549376,22145925120,0.000120902,44,5280
23,0.400285,28.6989,8388607,1006632840,1071.41,385875968,46305116160,0.000123542,46,5520
24,0.801187,36.6254,16777215,2013265800,2135.49,805306368,96636764160,0.000131494,48,5760
